K,n_a_prime,n_a_composite
1000000000,139775685,860224315

p,count_a_prime_p_div_b,count_a_comp_p_div_b,emp_given_a_prime,emp_given_a_comp,pred_given_a_prime,pred_given_a_comp,se_prime,se_comp,z_prime,z_comp,scaled_residual,increment,pred_increment
5,34943531,165056469,0.24999720802656056,0.191876079438652,0.25,0.2,3.662546984229056e-05,1.3425904139991506e-05,-0.07623037879007158,-605.0929960947228,-1.116789375776861e-05,0.05812112858790855,0.05
7,23296207,119560936,0.1666685232127462,0.1389880917281442,0.16666666666666666,0.14285714285714285,3.1522443299496504e-05,1.1794716812326995e-05,0.05889600821541897,-328.032558183593,1.1139276477223348e-05,0.027680431484602003,0.023809523809523808
11,13977413,76931678,0.09999888750321631,0.08943211283210473,0.1,0.09090909090909091,2.53748388442868e-05,9.729646317503078e-06,-0.04384251622333171,-151.80182596454569,-1.1124967836950717e-05,0.010566774671111584,0.00909090909090909
13,11648122,65274955,0.08333439396129591,0.07588131823500013,0.08333333333333333,0.07692307692307693,2.3377700711928314e-05,9.028704752567706e-06,0.045369216402052125,-115.3829609701795,1.2727535550816071e-05,0.007453075726295777,0.00641025641025641
