p,count,p_hat,predicted,epsilon_p,se,z_score
463,302741,0.0021659060372338722,0.0021645021645021645,0.0006485892020489104,3.932177924339025e-06,0.3570216706162176
467,299961,0.0021460170272104193,0.002145922746781116,4.39346800553686e-05,3.914121157690945e-06,0.0240872536912111
479,292756,0.002094470150512945,0.0020920502092050207,0.0011567319451877278,3.866927125938867e-06,0.6258047356754588
487,287237,0.0020549854575922844,0.00205761316872428,-0.0012770676101497846,3.830380062960514e-06,-0.6860183816758404
491,285202,0.0020404264160823107,0.0020408163265306124,-0.00019105611966774294,3.816815159387911e-06,-0.10215596826656195
499,280407,0.0020061214509519308,0.002008032128514056,-0.000951517425938464,3.784658821686902e-06,-0.5048480331111149
503,278491,0.0019924137735400833,0.00199203187250996,0.00019171431712172726,3.7717324158303106e-06,0.10125347930841735
509,275457,0.0019707075661979405,0.001968503937007874,0.0011194436285537623,3.7511715110921956e-06,0.5874509292764534
521,269070,0.001925012923385065,0.0019230769230769232,0.0010067201602337317,3.707512261297789e-06,0.5221831167900687
523,267669,0.001914989720851663,0.0019157088122605363,-0.0003753657154318413,3.6978660510238965e-06,-0.19446118354507128
541,258836,0.00185179561094621,0.001851851851851852,-3.037008904660521e-05,3.6364550653066465e-06,-0.015465860194061813
547,255974,0.0018313199466702668,0.0018315018315018315,-9.930911803435194e-05,3.6163317770958176e-06,-0.05029539400026466
557,251145,0.0017967717346547077,0.0017985611510791368,-0.0009949155319824987,3.5821199455441685e-06,-0.49954117998057807
563,248753,0.0017796586008503553,0.0017793594306049821,0.00016813367789958455,3.56505095878524e-06,0.08391752287185339
569,246073,0.0017604850228421344,0.0017605633802816902,-4.4507025667606115e-05,3.545828540491159e-06,-0.0220984852090145
571,245509,0.0017564499862762254,0.0017543859649122807,0.0011764921774484183,3.5417698431467392e-06,0.5827655255291364
577,242486,0.0017348224764557583,0.001736111111111111,-0.0007422535614831638,3.519935183708693e-06,-0.3660961319165407
587,238518,0.0017064341340913478,0.0017064846416382253,-2.9597422470217793e-05,3.4910662159883924e-06,-0.014467656513124373
593,235854,0.0016873750252055643,0.0016891891891891893,-0.0010739850783059168,3.4715488071412544e-06,-0.5225805784130504
599,233872,0.0016731951626636635,0.0016722408026755853,0.0005707072728706741,3.4569559969307843e-06,0.2760694636916316
601,232680,0.0016646672130420967,0.0016666666666666668,-0.0011996721747420391,3.448149754792769e-06,-0.5798627573500759
607,230645,0.001650108171532123,0.0016501650165016502,-3.444805153340891e-05,3.433063057177118e-06,-0.01655809071384461
613,228577,0.001635313037457123,0.0016339869281045752,0.0008115789237592708,3.4176630301491564e-06,0.38801641380362173
617,226909,0.0016233796314430512,0.0016233766233766235,1.8529689194135557e-06,3.4051906543877007e-06,0.0008833768011776144
619,226320,0.001619165736873334,0.0016181229773462784,0.0006444253877204709,3.4007754404974747e-06,0.30662404657421444
631,221818,0.001586956987547584,0.0015873015873015873,-0.00021709784502210727,3.3668354109805194e-06,-0.10235123251927639
641,218481,0.001563083021199288,0.0015625,0.0003731335675443148,3.3414542820753894e-06,0.17448127374223177
643,217923,0.0015590909105542927,0.001557632398753894,0.0009363645758559969,3.337191192225119e-06,0.43704771959026045
647,216711,0.0015504198745296795,0.0015479876160990713,0.0015712389461730591,3.3279126468910904e-06,0.7308660679180992
653,214537,0.001534866382518533,0.0015337423312883436,0.0007328814020834962,3.3112038955924665e-06,0.33946904679766665
659,212226,0.001518332748646519,0.001519756838905775,-0.0009370513905905264,3.293348672958258e-06,-0.43241405653441173
661,211597,0.0015138326812707088,0.0015151515151515152,-0.000870430361332164,3.288472012849437e-06,-0.4010476220120223
673,207778,0.0014865103326089943,0.001488095238095238,-0.001065056486755811,3.258705545948205e-06,-0.48636044708437914
677,206556,0.0014777677533828577,0.0014792899408284023,-0.0010289987131881784,3.249122963474746e-06,-0.4684917938337329
683,205055,0.0014670291188342236,0.001466275659824047,0.0005138590449405012,3.2373134917678945e-06,0.23274205976426177
691,202517,0.0014488714542876323,0.0014492753623188406,-0.000278696541533785,3.217245979224325e-06,-0.1255446533515334
701,199351,0.0014262208766853835,0.0014285714285714286,-0.001645386320231479,3.192035105424394e-06,-0.7363803368110253
709,197224,0.0014110036377213962,0.0014124293785310734,-0.0010094244932514762,3.1749847244786686e-06,-0.4490543840053826
719,194630,0.001392445331246275,0.001392757660167131,-0.0002242521651746321,3.1540653376835e-06,-0.0990242393283335
727,192470,0.0013769919997172612,0.0013774104683195593,-0.0003038082052684299,3.136538897714368e-06,-0.13341731633012527
733,190744,0.0013646436431343548,0.001366120218579235,-0.0010808532256523229,3.122462868930472e-06,-0.4728880716477245
739,189562,0.0013561872367143111,0.0013550135501355014,0.0008661806951615336,3.112786394665107e-06,0.37705336312871746
743,188384,0.001347759447574877,0.0013477088948787063,3.751010055874637e-05,3.1031124813439634e-06,0.016290964789248234
751,186227,0.00133232757900632,0.0013333333333333333,-0.0007543157452599702,3.0853198273969314e-06,-0.32598057358022164
757,184488,0.0013198862162614334,0.0013227513227513227,-0.002166020506356392,3.070899708118729e-06,-0.9329860178483288
761,183526,0.0013130037602749004,0.0013157894736842105,-0.002117142191075727,3.062893299709321e-06,-0.9095039025925117
769,182416,0.001305062464905824,0.0013020833333333333,0.002287973047672809,3.0536289133120326e-06,0.9756036692944061
773,181234,0.0012966060584857803,0.0012953367875647669,0.0009798771510223236,3.0437324294153286e-06,0.41701133409326174
787,177465,0.0012696414258316817,0.001272264631043257,-0.002061839296298218,3.0119575945149107e-06,-0.8709303266262787
797,175453,0.0012552469336852114,0.001256281407035176,-0.0008234407865717053,2.9948565518228615e-06,-0.3454166608864279
809,172997,0.0012376759233911105,0.0012376237623762376,4.214610001729291e-05,2.9738477625590113e-06,0.017539907566735135
811,172867,0.0012367458617713089,0.0012345679012345679,0.0017641480347601046,2.9727315756704103e-06,0.7326462148705133
821,170568,0.0012202980797411224,0.0012195121951219512,0.0006444253877204709,2.952922188195807e-06,0.2661379369604635
823,169828,0.0012150038828284047,0.0012165450121654502,-0.0012668083150513265,2.9465174885443715e-06,-0.5230341727266798
827,168997,0.0012090586427818256,0.0012106537530266344,-0.001317561062212036,2.9393084671505494e-06,-0.5426821521577623
829,168667,0.0012066977171315597,0.0012077294685990338,-0.0008542902150685538,2.936440745393305e-06,-0.3513612420385668
839,167097,0.0011954654344924155,0.0011933174224343676,0.0018000341046442436,2.9227586183987452e-06,0.7349262592285905
853,164047,0.0011736447580278358,0.0011737089201877935,-5.4666160283933785e-05,2.895993039155364e-06,-0.022155495227435883
857,163267,0.0011680643883090253,0.0011682242990654205,-0.00013688360747443618,2.889108066707398e-06,-0.055349524040984525
859,163032,0.0011663831230732298,0.0011655011655011655,0.0007567195968312124,2.8870305143544456e-06,0.3054895220813033
863,161907,0.0011583345129018683,0.001160092807424594,-0.0015156498785895423,2.877063906056623e-06,-0.61114197672986
877,159756,0.0011429455702542256,0.001141552511415525,0.0012203195427016311,2.8579105412927937e-06,0.48743962365959387
881,158831,0.0011363278241133285,0.0011363636363636363,-3.151478027096921e-05,2.849634204724223e-06,-0.01256731486744867
883,158290,0.0011324573369109227,0.0011337868480725624,-0.0011726288445661481,2.8447824557252976e-06,-0.46735073149934075
887,157787,0.001128858713874305,0.001128668171557562,0.00016882049263422516,2.8402640261529546e-06,0.06708612825730902
907,154379,0.0011044767907951944,0.0011037527593818985,0.0006559724604460193,2.809457817608274e-06,0.25771214956781
911,153699,0.0010996118530916161,0.001098901098901099,0.0006467863133707841,2.8032703439166176e-06,0.2535446472580293
919,152234,0.0010891307740684656,0.0010893246187363835,-0.00017794940514859192,2.7898931429471756e-06,-0.06948103672286053
929,150850,0.0010792291949776529,0.0010775862068965517,0.0015246929392618291,2.7771961196197912e-06,0.5915995883380673
937,149220,0.0010675676531293693,0.0010683760683760685,-0.0007566766709102835,2.762167082402319e-06,-0.2926742744309492
941,148757,0.0010642552028988447,0.0010638297872340426,0.00039989072491408706,2.75788309801367e-06,0.15425442257089705
947,147650,0.0010563353704902251,0.0010570824524312897,-0.0007067395162470014,2.7476132043144603e-06,-0.2719021512531107
953,146929,0.0010511771056604016,0.0010504201680672268,0.0007206045887022672,2.7409035404193834e-06,0.27616352856361953
967,144850,0.0010363032740637258,0.0010351966873706005,0.001068962745559121,2.7214632457615543e-06,0.4066146014827756
971,144105,0.0010309733055502465,0.0010309278350515464,4.4106383739084265e-05,2.7144628799998133e-06,0.016751195617773877
977,142905,0.001022388121367461,0.0010245901639344263,-0.0021491935453581412,2.7031488472741463e-06,-0.8146212773987179
983,142569,0.001019984269796281,0.0010183299389002036,0.0016245529399478986,2.6999723871449674e-06,0.6127214129870516
991,141128,0.0010096748944567863,0.00101010101010101,-0.00042185448778153667,2.686306762136052e-06,-0.15862508713820597
997,140460,0.0010048958085950358,0.001004016064257028,0.0008762253606555692,2.6799480947243323e-06,0.32826917048863347
