K,n_a_prime,n_a_composite
1000000000,139775685,860224315

p,count_a_prime_p_div_b,count_a_comp_p_div_b,emp_given_a_prime,emp_given_a_comp,pred_given_a_prime,pred_given_a_comp,increment,pred_increment
5,34943531,165056469,0.24999720802656056,0.191876079438652,0.25,0.2,0.05812112858790855,0.05
7,23296207,119560936,0.1666685232127462,0.1389880917281442,0.16666666666666666,0.14285714285714285,0.027680431484602003,0.023809523809523808
11,13977413,76931678,0.09999888750321631,0.08943211283210473,0.1,0.09090909090909091,0.010566774671111584,0.00909090909090909
13,11648122,65274955,0.08333439396129591,0.07588131823500013,0.08333333333333333,0.07692307692307693,0.007453075726295777,0.00641025641025641
