p,count,p_hat,predicted,epsilon_p,se,z_score
293,53726,0.003430151508041473,0.003424657534246575,0.0016042403481100198,1.4773211683537248e-05,0.3718875700549227
307,51310,0.0032759013117970434,0.0032679738562091504,0.002425801409895234,1.4438340579374547e-05,0.54905586582557
311,50552,0.003227506589630952,0.0032258064516129032,0.000527042785595011,1.4331643247302436e-05,0.11862826814145676
313,50068,0.003196605474158144,0.003205128205128205,-0.0026590920626590187,1.4263091595796957e-05,-0.5975374211697826
317,49606,0.003167108954843191,0.0031645569620253164,0.0008064297304484214,1.419734315185086e-05,0.1797514359256742
331,47346,0.0030228186222635515,0.0030303030303030303,-0.0024698546530279586,1.3871168627849965e-05,-0.5395657885992338
337,46449,0.0029655494061910127,0.002976190476190476,-0.0035753995198197774,1.3739535860293802e-05,-0.7744854053050776
347,45312,0.0028929573229418758,0.002890173410404624,0.000963233737889091,1.3570826650588665e-05,0.20513949584131336
349,44972,0.002871249927775027,0.0028735632183908046,-0.0008050251342905934,1.351996338603127e-05,-0.1711018402732875
353,44370,0.002832815069273725,0.002840909090909091,-0.0028490956156488334,1.3429427492493288e-05,-0.602707869705564
359,43747,0.00279303945989447,0.002793296089385475,-9.187335777971484e-05,1.3335078726229158e-05,-0.019244692609144524
367,42768,0.002730534930869927,0.00273224043715847,-0.0006242153016067231,1.31854369652935e-05,-0.1293477260580945
373,42218,0.0026954200269235546,0.002688172043010753,0.002696250015562285,1.3100610354338034e-05,0.5532554374767439
379,41401,0.002643258433243216,0.0026455026455026454,-0.0008483122340643412,1.2973569260480747e-05,-0.17298341068449039
383,41012,0.002618422619361145,0.002617801047120419,0.0002374405959573167,1.2912636951818001e-05,0.04813673946268121
389,40413,0.00258017929669955,0.002577319587628866,0.0011095671194254475,1.28182382020858e-05,0.22309688941642533
397,39559,0.002525655427662819,0.0025252525252525255,0.00015954935447637375,1.2682425351807643e-05,0.03176856154223222
401,39280,0.0025078425945700227,0.0025,0.003137037828009115,1.2637736027952924e-05,0.6205695824533694
409,38250,0.0024420819562704526,0.0024509803921568627,-0.003630561841655333,1.247135308790184e-05,-0.713510059709741
419,37408,0.0023883242305925514,0.0023923444976076554,-0.00168047161231355,1.233365516015077e-05,-0.3259590902211402
421,37221,0.0023763851632507844,0.002380952380952381,-0.0019182314346705143,1.2302862611107703e-05,-0.3712321145058758
431,36314,0.0023184774943792214,0.002325581395348837,-0.00305467741693477,1.2152392958754921e-05,-0.5845680759111697
433,36150,0.002308006868475212,0.0023148148148148147,-0.0029410328187085,1.2124984428335957e-05,-0.5614808315706098
439,35708,0.0022797872547583088,0.00228310502283105,-0.0014531824158607876,1.2050801800283902e-05,-0.2753151307046784
443,35418,0.0022612721235865853,0.0022624434389140274,-0.0005177213747292742,1.2001878532166305e-05,-0.09759433277905268
449,34847,0.0022248164687622605,0.002232142857142857,-0.0032822219945073394,1.1904957298628783e-05,-0.615406523250647
457,34356,0.002193468436330135,0.0021929824561403508,0.0002216069665414988,1.1820974039315939e-05,0.041111687426751004
461,33834,0.0021601412002210324,0.002173913043478261,-0.0063350478983250635,1.173102314690318e-05,-1.173967784801791
463,33875,0.002162758856697035,0.0021645021645021645,-0.0008054082059699708,1.1738113418214196e-05,-0.14851686493543248
467,33572,0.0021434137368865785,0.002145922746781116,-0.001169198610854405,1.1685612117483795e-05,-0.21470932539198728
479,32805,0.0020944444072013646,0.0020920502092050207,0.0011444266422522276,1.1551637091609226e-05,0.20726049280780898
487,32183,0.0020547326431020123,0.00205761316872428,-0.0013999354524220076,1.1441828117108942e-05,-0.25175396735426386
491,31963,0.0020406866815234634,0.0020408163265306124,-6.352605350290474e-05,1.1402733661513222e-05,-0.0113696426661783
499,31448,0.002007806362373678,0.002008032128514056,-0.00011243153790840843,1.1310684355418087e-05,-0.019960431507396185
